Benchmark,Steady Percentage
org_apacheproj_tinkerpopmethod_org.apache.tinkerpop.gremlin.process.TraversalConstructionBenchmark.constructShortparams_,"([0.8304971638304972, 0.8118315508021391, 0.8332776478449716, 0.8331661651621531, 0.8335001668335001, 0.8315508021390374, 0.8297658862876254, 0.607620320855615, 0.8032732130928524, 0.8333889816360601], [0.0009244735376252084, 0.0009518539956180369, 0.0008850708949150769, 0.0008858540016910617, 0.0008475443298807359, 0.0008740971692506488, 0.0009048249367674999, 0.001985144220272566, 0.0010067578958226258, 0.0009545785840154784], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_eclipseproj_rdf4jmethod_org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectAllparams_countk=10&limit=10000&syncThreshold=0,"([0.8334445927903872, 0.8343906510851419, 0.7750333778371161, 0.8317195325542571, 0.8283706925393108, 0.8333333333333334, 0.8084751418084751, 0.7464882943143812, 0.8160267111853089, 0.7230203808887404], [32.49589452800001, 31.939264511999998, 43.936841728, 32.71983104000002, 33.85327616000002, 31.847088127999978, 36.99002572799998, 48.61181951999996, 35.71217203199994, 52.97661542399995], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_RoaringBitmapproj_RoaringBitmapmethod_org.roaringbitmap.iteration.BatchIteratorBenchmark.batchIterateparams_bufferSize=256&dirtiness=0.5&keys=16384&runniness=0.1,"([0.756, 0.30366666666666664, 0.834, 0.7233900567233901, 0.834, 0.8336666666666667, 0.8336666666666667, 0.8256666666666667, 0.8322774258086029, 0.811], [392.6990520320003, 1112.5422817279916, 266.39597567999994, 443.61213542400225, 266.7776573440017, 266.89404927999993, 266.56794214399997, 279.96926771199963, 269.8012262400002, 303.3556582399988], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_tinkerpopmethod_org.apache.tinkerpop.gremlin.driver.GraphSONMapperBenchmark.readBytecode2params_,"([0.8329986613119144, 0.8332217012726055, 0.8329427519250083, 0.833389093342255, 0.8332219251336899, 0.8268137746573052, 0.8334448160535117, 0.833389093342255, 0.8316070831941196, 0.832886805090422], [0.0066181062305070305, 0.00642409818528763, 0.006431062939504466, 0.006357837388741055, 0.006512270311940474, 0.006673100781766975, 0.006362649226743941, 0.006361017454564854, 0.006547171332721698, 0.006467768507152232], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_zalandoproj_logbookmethod_org.zalando.logbook.LogbookBenchmark.plainparams_,"([0.8316599732262383, 0.8332219251336899, 0.8316070831941196, 0.8333333333333334, 0.8286479250334672, 0.8329986613119144, 0.8249665327978581, 0.6311393250918811, 0.8329427519250083, 0.8333333333333334], [0.0180251973215767, 0.018304704092418914, 0.018410897265436557, 0.017866927156899425, 0.01840895537794057, 0.018265661564142662, 0.019677220474204532, 0.03738786618414239, 0.017610913324846184, 0.018352838256422407], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_tinkerpopmethod_org.apache.tinkerpop.gremlin.process.TraversalConstructionBenchmark.testAddVAddEWithPropsChainedparams_,"([0.614562458249833, 0.8317725752508361, 0.8248663101604278, 0.8331661651621531, 0.8333333333333334, 0.6656656656656657, 0.8335561497326203, 0.8282557750251088, 0.8332776478449716, 0.8151737967914439], [0.5296405329780298, 0.2530047225066353, 0.2663497227461721, 0.23888929850660795, 0.2272199724834509, 0.23030067405787102, 0.22455862248452974, 0.23055031946106122, 0.23377466784194575, 0.27005532524100123], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_eclipseproj_jetty.projectmethod_org.eclipse.jetty.util.StringReplaceBenchmark.testJettyStringUtilReplaceGrowthparams_matches=1&size=3,"([0.8332776478449716, 0.8268137746573052, 0.8303839732888146, 0.8335561497326203, 0.8333889816360601, 0.8328308207705193, 0.8321654988321655, 0.1697860962566845, 0.8339458737053124, 0.8322753090544605], [7.918605415257191e-05, 8.34742463313367e-05, 8.387320458401793e-05, 8.080992181038529e-05, 9.505188107414489e-05, 8.117196099087866e-05, 7.953456749369078e-05, 0.0004225127337729484, 8.027384403182571e-05, 8.313530907967338e-05], [True, True, False, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_hivemethod_org.apache.hive.benchmark.vectorization.operators.VectorGroupByOperatorBench.testAggCountparams_aggregation=max&dataType=double&evalMode=COMPLETE&hasNulls=false&isRepeating=true&processMode=HASH,"([0.8342228152101401, 0.8339446482160721, 0.8342780926975658, 0.8336112037345782, 0.8336112037345782, 0.8336666666666667, 0.8293333333333334, 0.7905968656218739, 0.8339446482160721, 0.8339446482160721], [4.677092690326228e-05, 4.7368836488846456e-05, 4.525632587546743e-05, 4.256634715529403e-05, 4.5297154534953556e-05, 4.736710874293665e-05, 4.894886309476953e-05, 5.704131793091285e-05, 4.605477428962844e-05, 4.541448761275914e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_tinkerpopmethod_org.apache.tinkerpop.gremlin.driver.GraphBinaryReaderWriterBenchmark.readBytecode2params_,"([0.8327736736064473, 0.714476763624206, 0.811686143572621, 0.7745065239210438, 0.8329986613119144, 0.8328308207705193, 0.8328308207705193, 0.8331658291457287, 0.8337236533957846, 0.8250836120401338], [0.002616979914045295, 0.004364375564781295, 0.002952180422242739, 0.0035561501186403732, 0.0025886471074603092, 0.0025496998811020775, 0.0026526166640355015, 0.002566960500921681, 0.002526705579072056, 0.0026734451515257273], [True, True, True, True, True, True, True, True, True, False], [True, True, True, True, True, True, True, True, True, True])"
org_eclipseproj_eclipse-collectionsmethod_org.eclipse.collections.impl.jmh.map.ChainMapPutTest.ecparams_isPresized=true&loadFactor=0.75f&size=750000,"([0.8332219251336899, 0.8337228714524207, 0.8337228714524207, 0.8336673346693386, 0.8338892595063375, 0.8339446482160721, 0.834, 0.8333333333333334, 0.8336673346693386, 0.8336673346693386], [42.87705907200006, 42.72413081600001, 43.11914905599995, 42.047143936, 40.466644992000035, 44.64764518400004, 41.207070719999976, 46.058209279999986, 43.93100902400003, 43.75753523199997], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
